user_id,seed,front_size,hypervolume,avg_preference,avg_cost,avg_co2
1,42,100,469020.0723,73.506,17.03,30.776
1,123,100,465513.7383,75.526,15.569,30.608
1,456,100,475077.3041,73.977,16.455,28.711
1,789,100,494101.7811,81.597,17.288,33.86
1,1000,100,477818.6118,78.282,17.806,33.303
2,42,100,749361.1183,137.482,22.414,37.657
2,123,100,753488.4258,137.143,22.535,34.994
2,456,100,760242.8598,132.294,20.188,36.124
2,789,100,759292.4698,130.195,20.244,35.336
2,1000,100,741855.0074,123.288,22.92,25.938
