algorithm,seed,front_size,hypervolume,avg_preference,avg_cost,avg_co2
NSGA-II,42,100,344653.5288,73.506,17.03,30.776
NSGA-II,123,100,341794.1643,75.526,15.569,30.608
NSGA-II,456,100,350647.0712,73.977,16.455,28.711
NSGA-II,789,100,361526.2632,81.597,17.288,33.86
NSGA-II,1000,100,345078.0211,78.282,17.806,33.303
SPEA2,42,100,379906.7532,68.944,13.166,22.631
SPEA2,123,100,352522.1448,62.391,14.098,21.425
SPEA2,456,100,339560.9644,65.177,15.227,21.374
SPEA2,789,100,354611.4562,66.606,13.118,23.902
SPEA2,1000,100,378672.2875,67.107,14.388,21.263
