config,alpha,seed,front_size,hypervolume,avg_distinct_groups,avg_preference,avg_cost,avg_co2
with_diversity,0.5,42,100,357590.9978,7.32,73.506,17.03,30.776
with_diversity,0.5,123,100,354664.3311,7.2,75.526,15.569,30.608
with_diversity,0.5,456,100,363591.1656,7.77,73.977,16.455,28.711
with_diversity,0.5,789,100,375317.6866,8.16,81.597,17.288,33.86
with_diversity,0.5,1000,100,358886.6165,7.87,78.282,17.806,33.303
without_diversity,0.0,42,100,327192.4851,6.75,58.728,14.693,25.82
without_diversity,0.0,123,100,371995.1222,7.77,80.29,17.241,28.796
without_diversity,0.0,456,100,371195.4009,7.01,70.326,14.065,22.807
without_diversity,0.0,789,100,358729.9876,8.34,81.84,18.759,30.304
without_diversity,0.0,1000,100,400382.3346,7.62,78.833,16.23,23.495
